City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Russell,US,32.35,-85.2,80.6,83,75,9.17,broken clouds
195,Saint-Philippe,RE,-21.36,55.77,73.4,69,46,17.22,light rain
196,Sawakin,SD,19.11,37.33,96.53,37,0,12.44,clear sky
197,Kalabo,ZM,-14.97,22.68,85.37,32,86,3.02,overcast clouds
198,Madisonville,US,37.33,-87.5,78.8,88,75,6.93,broken clouds
199,Lorengau,PG,-2.02,147.27,81.9,78,44,10.67,scattered clouds
200,Hofn,IS,64.25,-15.21,53.6,62,75,6.93,broken clouds
201,Kralendijk,BQ,12.15,-68.27,82.47,82,0,12.77,clear sky
202,Zhucheng,CN,35.99,119.4,71.29,93,3,0.85,clear sky
203,Vestmanna,FO,62.16,-7.17,51.8,76,75,6.93,broken clouds
204,Sinnamary,GF,5.38,-52.95,86.59,65,61,8.46,broken clouds
205,Port Augusta,AU,-32.5,137.77,66.2,20,100,17.22,overcast clouds
206,Farafangana,MG,-22.82,47.83,72.99,77,0,12.33,clear sky
207,Abancay,PE,-13.63,-72.88,65.01,46,31,0.76,scattered clouds
208,Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,overcast clouds
209,Jizan,SA,17.33,42.67,93.2,59,75,9.17,thunderstorm
210,Ca Mau,VN,9.18,105.15,80.91,84,6,4.12,clear sky
211,Malabo,GQ,3.75,8.78,80.6,88,40,6.93,scattered clouds
212,Cahors,FR,44.42,1.33,72.0,68,36,10.29,light rain
213,Chuy,UY,-33.7,-53.46,60.87,92,96,3.04,overcast clouds
214,Inhambane,MZ,-23.86,35.38,78.01,83,75,29.97,broken clouds
215,Vagay,RU,57.94,69.02,66.34,69,15,4.25,few clouds
216,Tacoronte,ES,28.48,-16.41,77.0,94,75,23.04,fog
217,Payakumbuh,ID,-0.22,100.63,72.01,87,100,1.03,light rain
218,Nanortalik,GL,60.14,-45.24,52.27,66,96,9.01,overcast clouds
219,Kahului,US,20.89,-156.47,77.0,69,1,10.29,clear sky
220,Dandong,CN,40.13,124.39,71.13,94,6,0.63,clear sky
221,Dukhovnitskoye,RU,52.48,48.21,72.97,57,20,10.63,moderate rain
222,Makakilo City,US,21.35,-158.09,78.8,69,1,4.7,clear sky
223,Bandrele,YT,-12.91,45.19,82.4,61,20,4.7,few clouds
