City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Marsh Harbour,BS,84.65,overcast clouds,26.54,-77.06,Abaco Beach Resort
359,Ahuimanu,US,78.8,broken clouds,21.44,-157.84,Paradise Bay Resort
360,Indramayu,ID,82.09,clear sky,-6.33,108.32,Grand Trisula Hotel
363,Temple Terrace,US,89.01,broken clouds,28.04,-82.39,La Quinta Inn & Suites by Wyndham USF (Near Busch Gardens)
366,Hobyo,SO,80.58,clear sky,5.35,48.53,Osmani Hotel
370,Mandapam,IN,83.32,few clouds,9.28,79.12,Indian coast Guard New CGRA
375,Ceuta,ES,82.4,clear sky,35.89,-5.31,Ceuta Puerta de Africa
376,Zhanakorgan,KZ,83.55,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
380,Kattivakkam,IN,86.0,mist,13.22,80.32,St. Joseph Thirumana mandapam
381,Kavieng,PG,81.37,scattered clouds,-2.57,150.8,Nusa Island Retreat
382,Narasapur,IN,81.18,broken clouds,16.45,81.67,TCI Xps
383,Arys,KZ,84.2,clear sky,42.43,68.8,"Gostinitsa ""Madani"""
384,Yarada,IN,86.0,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
386,Nauta,PE,82.63,overcast clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
388,Shahr-E Kord,IR,84.2,few clouds,32.33,50.86,Sharekord Tourism Hotel
389,Bac Lieu,VN,81.97,few clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
390,Port-Gentil,GA,78.8,overcast clouds,-0.72,8.78,Fengshui Residence
392,Sencur,SI,82.4,broken clouds,46.25,14.42,Hotel Azul
394,Beira,MZ,80.6,smoke,-19.84,34.84,Beira Terrace Hotel
401,Sung Noen,TH,80.1,light rain,14.9,101.82,ฉัตรทิพย์ รีสอร์ท
402,Mahudha,IN,84.2,haze,22.82,72.93,Mastana Pav Bhaji and pulav
406,Hambantota,LK,87.8,few clouds,6.12,81.12,Bungalow 63
407,Ojinaga,MX,89.6,clear sky,29.57,-104.42,Suites Las Palmas
409,Anloga,GH,82.4,scattered clouds,5.79,0.9,Dey Lodge
417,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
421,Khash,IR,81.59,clear sky,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
424,Sayaxche,GT,80.26,few clouds,16.52,-90.17,GAMER MAN Jimenes
425,Sulangan,PH,85.12,overcast clouds,11.14,123.72,Maia's Beach Resort
426,Banda Aceh,ID,81.54,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
427,Mucurapo,TT,88.0,light rain,10.67,-61.53,Courtyard by Marriott Port of Spain
430,Contamana,PE,86.92,clear sky,-7.33,-75.02,Shiringal Touristic Park
431,Mchinji,MW,88.95,overcast clouds,-13.8,32.88,Compass Lodge
434,Archidona,ES,84.0,clear sky,37.1,-4.39,Hotel Escua
435,Sola,VU,79.54,moderate rain,-13.88,167.55,Leumerus Bungalows
442,Bhanvad,IN,80.65,moderate rain,21.93,69.77,Khatri Mandap
444,Moroni,KM,84.2,scattered clouds,-11.7,43.26,Hotel les Arcades
448,Magan,ES,81.0,clear sky,39.97,-3.93,Hotel Pattaya
449,Khani,GE,84.2,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
450,Mayo,US,78.8,light rain,38.89,-76.51,Resorts Resource Group International
454,Basco,PH,84.07,overcast clouds,20.45,121.97,Nathaniel's Lodge
455,Sao Joao Da Barra,BR,78.8,few clouds,-21.64,-41.05,Pousada Porto De Canoas
456,Dois Corregos,BR,82.99,clear sky,-22.37,-48.38,Hotel Pousada Aquino Paraiso
457,Los Llanos De Aridane,ES,80.6,few clouds,28.66,-17.92,Valle Aridane
458,Dzilam Gonzalez,MX,83.3,overcast clouds,21.28,-88.93,Amina
459,Monte Azul,BR,84.88,clear sky,-15.15,-42.87,Hotel Delfino
464,Quelimane,MZ,87.01,scattered clouds,-17.88,36.89,Hotel Flamingo
466,Odlabari,IN,82.4,broken clouds,26.83,88.62,Radha Madhav Mistanna Bhandar
467,Teguise,ES,78.8,broken clouds,29.06,-13.56,B&B La Casona de Nazaret
473,Singapore,SG,80.6,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
477,Ugoofaaru,MV,83.8,overcast clouds,5.67,73.0,Ungoofaaru Inn
478,Iralaya,HN,84.2,scattered clouds,15.0,-83.23,Iglesia morava renovada
479,Channapatna,IN,84.0,scattered clouds,12.65,77.22,Farm house channapatna Bangalore mysore road
483,Locri,IT,88.0,clear sky,38.24,16.26,Grand Hotel President
484,Muvattupula,IN,82.4,haze,9.97,76.58,Hotel Bharath Muvattupuzha
486,Cozumel,MX,87.8,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
487,Lata,PT,79.0,clear sky,40.16,-8.33,Casa Maquia
489,Benghazi,LY,83.77,clear sky,32.12,20.07,Tibesti Hotel
490,Boa Vista,BR,78.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
493,Bonthe,SL,79.79,moderate rain,7.53,-12.51,Bonthe Holiday Village
494,Abilene,US,87.8,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
495,Harper,LR,79.11,light rain,4.38,-7.72,Screensaver
497,Morgan City,US,82.0,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
503,Abha,SA,78.8,scattered clouds,18.22,42.51,Abha Hotel
505,George Town,MY,86.0,few clouds,5.41,100.34,Cititel Penang
506,Calabazar De Sagua,CU,84.2,few clouds,22.64,-79.9,Hostal La Terraza
511,Denpasar,ID,80.6,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
514,Lencois Paulista,BR,82.99,clear sky,-22.6,-48.8,Izi Hotel
516,Garissa,KE,87.84,broken clouds,-0.45,39.64,Sharif Plaza Hotel
519,Mae Sai,TH,78.8,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
523,Lilongwe,MW,80.6,overcast clouds,-13.97,33.79,Spendwise furnished apartments.
525,Migori,KE,79.34,scattered clouds,-1.06,34.47,"Calabash Hotel, Migori"
531,Fayetteville,US,82.4,overcast clouds,35.05,-78.88,American Eagle Inn
538,Pemangkat,ID,78.91,light rain,1.17,108.97,Kost H.Syamsuddin
539,Priego De Cordoba,ES,81.0,clear sky,37.44,-4.2,Hotel Las Rosas
543,Puerto Madero,MX,80.6,clear sky,14.72,-92.42,Hotel La Central
545,Pointe Michel,DM,89.6,few clouds,15.25,-61.38,Castle Comfort Lodge Dive Dominica
549,Sao Gabriel Da Cachoeira,BR,80.6,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
550,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
551,Tonantins,BR,87.49,broken clouds,-2.87,-67.8,Hotel Rei Davi
555,Ishigaki,JP,83.8,light rain,24.34,124.16,Hotel Peace Land Ishigakijima
556,Acapetahua,MX,80.6,clear sky,15.28,-92.7,Hotel Carmen
566,Trincomalee,LK,85.32,light rain,8.57,81.23,Welcombe Hotel
570,Kavaratti,IN,82.72,light rain,10.57,72.64,Hotels in Lakshadweep Islands
571,Kolondieba,ML,82.89,light rain,11.09,-6.89,Hotel Dakan
572,Luang Prabang,LA,79.54,light rain,19.89,102.13,Villa Oasis
575,Celestun,MX,81.88,overcast clouds,20.87,-90.4,Posada Lilia
577,Sabzevar,IR,84.94,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
578,Fukuyama,JP,84.99,broken clouds,34.48,133.37,Hotel 1-2-3 Fukuyama
582,Monrovia,LR,78.48,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
587,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
589,Thibodaux,US,82.99,broken clouds,29.8,-90.82,Hampton Inn & Suites Thibodaux
600,Trinidad,BO,87.8,clear sky,-14.83,-64.9,Hotel Piesta
603,Hrebinka,UA,80.87,few clouds,50.12,32.44,Khmilʹ I Buzyna
608,Gat,IL,90.0,clear sky,31.61,34.76,רגע בנחת
609,Kanniyakumari,IN,81.0,few clouds,8.08,77.57,New Cape Hotel
617,Surin,TH,81.0,scattered clouds,14.88,103.49,One Fu Hotel
621,Banjar,ID,80.6,few clouds,-8.19,114.97,The Hamsa Resort
